Number;Chemical name;Chemical Formula;Monoisotopic mass;[M+H]+;[M-H]-;Smile Code;INCHi;Source
3135;Enrofloxacin-R086;;445.164915;446.17274;444.15709;;;
3136;Enrofloxacin-R087;;607.21774;608.225565;606.209915;;;
3137;Enrofloxacin-R088;;616.265692;617.273517;615.257867;;;
3138;Enrofloxacin-R089;;623.212655;624.22048;622.20483;;;
3139;Enrofloxacin-R090;;635.275528;636.283353;634.267703;;;
3140;Enrofloxacin-R091;;664.232679;665.240504;663.224854;;;
3141;Enrofloxacin-R092;;680.227594;681.235419;679.219769;;;
3142;Enrofloxacin-R093;;683.27017;684.277995;682.262345;;;
3143;Enrofloxacin-R094;;693.292241;694.300066;692.284416;;;
3144;Enrofloxacin-R095;;697.249435;698.25726;696.24161;;;
3145;Enrofloxacin-R096;;699.265085;700.27291;698.25726;;;
3146;Enrofloxacin-R097;;713.24435;714.252175;712.236525;;;
3147;Enrofloxacin-R098;;769.270565;770.27839;768.26274;;;
3148;Enrofloxacin-R099;;783.24983;784.257655;782.242005;;;
3149;Enrofloxacin-R100;;785.26548;786.273305;784.257655;;;
3150;Enrofloxacin-R101;;799.244745;800.25257;798.23692;;;
3151;Enrofloxacin-R102;;845.322995;846.33082;844.31517;;;
3152;Enrofloxacin-R103;;855.27096;856.278785;854.263135;;;
3153;Enrofloxacin-R104;;861.31791;862.325735;860.310085;;;
3154;Enrofloxacin-R105;;871.265875;872.2737;870.25805;;;
3155;Enrofloxacin-R106;;931.32339;932.331215;930.315565;;;
3156;Enrofloxacin-R107;;947.318305;948.32613;946.31048;;;
3157;Enrofloxacin-R108;;957.26627;958.274095;956.258445;;;
3158;Enrofloxacin-R109;;961.29757;962.305395;960.289745;;;
3159;Enrofloxacin-R110;;1007.37582;1008.383645;1006.367995;;;
3160;Enrofloxacin-R111;;1023.370735;1024.37856;1022.36291;;;
3161;Enrofloxacin-R112;;389.1387;390.146525;388.130875;;;
3162;Enrofloxacin-R113;;682.24352;683.251345;681.235695;;;
3163;Enrofloxacin-R114;;537.17552;538.183345;536.167695;;;
3164;Enrofloxacin-R115;;535.19652;536.204345;534.188695;;;
3165;Enrofloxacin-R116;;521.18052;522.188345;520.172695;;;
3166;Enrofloxacin-R117;;520.17952;521.187345;519.171695;;;
3167;Enrofloxacin-R118;;439.13092;440.138745;438.123095;;;
3168;Enrofloxacin-R119;;417.17002;418.177845;416.162195;;;
3169;Enrofloxacin-R120;;409.16492;410.172745;408.157095;;;
3170;Enrofloxacin-R121;;666.24852;667.256345;665.240695;;;
3171;Enrofloxacin-R122;;405.17002;406.177845;404.162195;;;
3172;Enrofloxacin-R123;;405.13362;406.141445;404.125795;;;
3173;Enrofloxacin-R124;;389.17512;390.182945;388.167295;;;
3174;Enrofloxacin-R125;;377.17512;378.182945;376.167295;;;
3175;Enrofloxacin-R126;;363.19582;364.203645;362.187995;;;
3176;Enrofloxacin-R127;;361.14382;362.151645;360.135995;;;
3177;Enrofloxacin-R128;;360.14852;361.156345;359.140695;;;
3178;Enrofloxacin-R129;;359.12812;360.135945;358.120295;;;
3179;Enrofloxacin-R130;;357.14882;358.156645;356.140995;;;
3180;Enrofloxacin-R131;;347.16452;348.172345;346.156695;;;
3181;Enrofloxacin-R132;;347.12812;348.135945;346.120295;;;
3182;Enrofloxacin-R133;;599.06352;600.071345;598.055695;;;
3183;Enrofloxacin-R134;;343.13322;344.141045;342.125395;;;
3184;Enrofloxacin-R135;;333.14882;334.156645;332.140995;;;
3185;Enrofloxacin-R136;;329.19032;330.198145;328.182495;;;
3186;Enrofloxacin-R137;;317.11752;318.125345;316.109695;;;
3187;Enrofloxacin-R138;;315.13832;316.146145;314.130495;;;
3188;Enrofloxacin-R139;;305.11752;306.125345;304.109695;;;
3189;Enrofloxacin-R140;;567.18652;568.194345;566.178695;;;
3190;Enrofloxacin-R141;;303.10192;304.109745;302.094095;;;
3191;Enrofloxacin-R142;;565.17052;566.178345;564.162695;;;
3192;Enrofloxacin-R143;;538.18952;539.197345;537.181695;;;
3193;Enrofloxacin-R144;;537.21252;538.220345;536.204695;;;
3194;Erythromycin-R001;;685.476499;686.484324;684.468674;;;
3195;Erythromycin-R002;;689.471414;690.479239;688.463589;;;
3196;Erythromycin-R003;;691.414294;692.422119;690.406469;;;
3197;Erythromycin-R004;;691.450679;692.458504;690.442854;;;
3198;Erythromycin-R005;;701.471414;702.479239;700.463589;;;
3199;Erythromycin-R006;;705.429944;706.437769;704.422119;;;
3200;Erythromycin-R007;;717.466329;718.474154;716.458504;;;
3201;Erythromycin-R008;;719.445594;720.453419;718.437769;;;
3202;Erythromycin-R009;;719.481979;720.489804;718.474154;;;
3203;Erythromycin-R010;;735.476894;736.484719;734.469069;;;
3204;Erythromycin-R011;;735.476894;736.484719;734.469069;;;
3205;Erythromycin-R012;;747.440509;748.448334;746.432684;;;
3206;Erythromycin-R013;;747.476894;748.484719;746.469069;;;
3207;Erythromycin-R014;;749.456159;750.463984;748.448334;;;
3208;Erythromycin-R015;;749.456159;750.463984;748.448334;;;
3209;Erythromycin-R016;;749.456159;750.463984;748.448334;;;
3210;Erythromycin-R017;;749.456159;750.463984;748.448334;;;
3211;Erythromycin-R018;;761.492544;762.500369;760.484719;;;
3212;Erythromycin-R019;;763.435424;764.443249;762.427599;;;
3213;Erythromycin-R020;;765.451074;766.458899;764.443249;;;
3214;Erythromycin-R021;;765.451074;766.458899;764.443249;;;
3215;Erythromycin-R022;;767.466724;768.474549;766.458899;;;
3216;Erythromycin-R023;;775.471809;776.479634;774.463984;;;
3217;Erythromycin-R024;;775.508194;776.516019;774.500369;;;
3218;Erythromycin-R025;;777.451074;778.458899;776.443249;;;
3219;Erythromycin-R026;;781.445989;782.453814;780.438164;;;
3220;Erythromycin-R027;;790.482708;791.490533;789.474883;;;
3221;Erythromycin-R028;;804.498358;805.506183;803.490533;;;
3222;Erythromycin-R029;;806.477623;807.485448;805.469798;;;
3223;Erythromycin-R030;;813.418061;814.425886;812.410236;;;
3224;Erythromycin-R031;;820.493273;821.501098;819.485448;;;
3225;Erythromycin-R032;;829.412976;830.420801;828.405151;;;
3226;Erythromycin-R033;;830.514008;831.521833;829.506183;;;
3227;Erythromycin-R034;;832.529658;833.537483;831.521833;;;
3228;Erythromycin-R035;;834.508923;835.516748;833.501098;;;
3229;Erythromycin-R036;;836.488188;837.496013;835.480363;;;
3230;Erythromycin-R037;;836.47043;837.478255;835.462605;;;
3231;Erythromycin-R038;;846.508923;847.516748;845.501098;;;
3232;Erythromycin-R039;;846.545308;847.553133;845.537483;;;
3233;Erythromycin-R040;;846.545308;847.553133;845.537483;;;
3234;Erythromycin-R041;;847.504172;848.511997;846.496347;;;
3235;Erythromycin-R042;;848.511997;849.519822;847.504172;;;
3236;Erythromycin-R043;;848.524573;849.532398;847.516748;;;
3237;Erythromycin-R044;;850.503838;851.511663;849.496013;;;
3238;Erythromycin-R045;;852.465345;853.47317;851.45752;;;
